id,name,zipcode,categories,pickup,delivery,price_range,rating
fiVtLDD20uyMh_qiAKyZGA,Roasting Plant,10002,coffee & tea,0,1,$,4
ZgSLZ3ap7GG6qbt_9Plb6g,IL Fornaio Bakery Cafe,11102,"bakeries, coffee & tea, delis",1,1,$,4.5
tNTXNCUta735nGb0nfSrKQ,The Casbah - Halal Cart,10023,"halal, street vendors",1,1,$,4.5
WQUfcgKZZe3siRXkkkwMHg,Purple Dough,11377,"bakeries, desserts, filipino",1,1,$,4
6Pa3-9piblDJu0l8u84Jhg,Mi Mariachi Taqueria,7306,mexican,0,1,$,4.5
mW1jZ9MOS7QlRvvnT_t82w,I'Milky - Chinatown,10002,"bubble tea, taiwanese, juice bars & smoothies",1,1,$,4.5
4krqWXQqWfTmSh0q0CShGg,DOC D's Southern Desserts,11233,"bakeries, desserts",1,1,$,4.5
IJmnnNx5RlvcckyTt3yjLQ,LĒNA Coffee Bar,10011,"coffee & tea, sandwiches",1,1,$,4
cn3JXMq29UfRkFCUD0Bhbw,Fried Dumpling,10013,chinese,0,1,$,3.5
PJrTtl4qM7M0VQGAZ2kDGQ,Gino's of Middle Village Pizza,11379,pizza,1,1,$,4.5
1Duix1fA6zcJGdYAmBPkmw,Dumpling Man,10009,"dim sum, szechuan",1,1,$,3.5
BaTfJjz2DoJwOQz5eOrqNA,Mahmoud's Corner,11106,"halal, middle eastern, food trucks",1,1,$,4.5
YrghgwuPHlgzddMf9sLkvA,Island Express,11226,"caribbean, bakeries",1,1,$,4.5
Cd11Q5nxqthvg5xQx2SW2g,Tasty Dumpling,10013,chinese,1,1,$,3.5
l6cNsWLIIYygtvt-kp2k9w,Tai Pan Bakery,10013,bakeries,0,1,$,3.5
aiELyvL3nWrI8WJb2lUniw,Padoca Bakery,10065,"coffee & tea, breakfast & brunch, bakeries",1,1,$,4
dVAI5zh29psdbHp9wGXwVQ,M Star Cafe,10002,"chinese, breakfast & brunch, hong kong style cafe",1,1,$,3.5
V0lISq2CcalvgAxAHMLwgA,Astoria Coffee,11102,"coffee & tea, ice cream & frozen yogurt, bakeries",0,1,$,4.5
r9-JprK1-EO7CiTCUxMKyA,Ricas Pupusas & Mas,11377,salvadoran,1,1,$,4.5
pC92jJr2d1VrxGKRNPPERA,11th Street Bar,10009,"irish pub, music venues",0,1,$,4
vPrJbdUxqCWVDDP5nQGWYA,Gooey on The Inside,10002,"desserts, caterers",1,1,$,4
oqI3P8XzyFZ_msmXIxbv-A,Copper Mug Coffee,11249,"coffee & tea, cafes",1,1,$,4.5
Pn_KLz8cue1P0AWQgFw1Zg,Gena's Grill,10009,"dominican, puerto rican",1,1,$,4
hB2S1y5T9ufMz5ksHHhdIA,Rizzo's Fine Pizza,11103,pizza,1,1,$,4
mZALre3ahuetu5X8_uUJew,Thelewala,10012,indian,1,1,$,4
4OjAtoUyYI5CRn1iY3iH_w,Pabade Cafe and Bakery,10029,"coffee & tea, bakeries, cafes",1,1,$,5
QH9vS9_Q5um3b8sZntZiyw,The Jolly Goat Coffee Bar,10036,"coffee & tea, cafes, bagels",1,1,$,4.5
